domain,rank,system_id,model,avg_score,gap_to_1,n_common,tier,oss_classification_note,lineage,base_model,teacher
repo_bugfix_system_verified,1,20251014_Lingxi_kimi_k2,Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],0.712,0.0,500,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
repo_bugfix_system_verified,2,20250716_openhands_kimi_k2,OpenHands + Kimi K2 [20250716_openhands_kimi_k2],0.654,0.058,500,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
repo_bugfix_system_verified,3,20250901_entroPO_R2E_QwenCoder30BA3B_tts,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts],0.604,0.108,500,A- system-level,all tagged models are OSS/open-weights,base=Qwen3-Coder; teacher=none; Qwen3-Coder open-weights family,Qwen3-Coder,none
repo_bugfix_system_verified,4,20250629_deepswerl_r2eagent_tts,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts],0.588,0.124,500,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
repo_bugfix_system_verified,5,20250804_codesweep_sweagent_kimi_k2_instruct,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct],0.534,0.178,500,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
repo_bugfix_system_verified,6,20250901_entroPO_R2E_QwenCoder30BA3B,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B],0.522,0.19,500,A- system-level,all tagged models are OSS/open-weights,base=Qwen3-Coder; teacher=none; Qwen3-Coder open-weights family,Qwen3-Coder,none
repo_bugfix_system_verified,7,20250616_Skywork-SWE-32B+TTS_Bo8,Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8],0.47,0.242,500,A- system-level,all tagged models are OSS/open-weights,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,Qwen2.5-Coder,none
repo_bugfix_system_verified,8,20250520_openhands_devstral_small,OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],0.468,0.244,500,A- system-level,all tagged models are OSS/open-weights,base=Devstral/Mistral; teacher=none; Mistral/Devstral open-weights family,Devstral/Mistral,none
repo_bugfix_system_verified,9,20250629_deepswerl_r2eagent,DeepSWE-Preview [20250629_deepswerl_r2eagent],0.422,0.29,500,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
repo_bugfix_system_verified,10,20250226_swerl_llama3_70b,SWE-RL (Llama3-SWE-RL-70B + Agentless Mini) (20250226) [20250226_swerl_llama3_70b],0.412,0.3,500,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
repo_bugfix_system_verified,11,20250511_sweagent_lm_32b,SWE-agent + SWE-agent-LM-32B [20250511_sweagent_lm_32b],0.402,0.31,500,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
repo_bugfix_system_verified,12,20250725_sweagent_devstral_small_2507,SWE-agent + DevStral Small 2507 [20250725_sweagent_devstral_small_2507],0.38,0.332,500,A- system-level,all tagged models are OSS/open-weights,base=Devstral/Mistral; teacher=none; Mistral/Devstral open-weights family,Devstral/Mistral,none
repo_bugfix_system_verified,13,20250616_Skywork-SWE-32B,Skywork-SWE-32B [20250616_Skywork-SWE-32B],0.38,0.332,500,A- system-level,all tagged models are OSS/open-weights,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,Qwen2.5-Coder,none
repo_bugfix_system_verified,14,20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,SWE-Fixer (Qwen2.5-7b retriever + Qwen2.5-72b editor) [20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor],0.328,0.384,500,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
repo_bugfix_system_verified,15,20250627_agentless_MCTS-Refine-7B,MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B],0.232,0.48,500,A- system-level,all tagged models are OSS/open-weights,base=MCTS-Refine-7B; teacher=uncertain; open SWE fine-tune; exact ancestry uncertain,MCTS-Refine-7B,uncertain
