domain,rank,system_id,model,avg_score,gap_to_1,n_common,tier,oss_classification_note,lineage,base_model,teacher
terminal_agentic,1,terminus-2 :: glm-5@z-ai,terminus-2 :: glm-5@z-ai,0.524157,0.0,89,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
terminal_agentic,2,terminus-2 :: kimi-k2.5@kimi,terminus-2 :: kimi-k2.5@kimi,0.432022,0.092135,89,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
terminal_agentic,3,terminus-2 :: minimax-m2.5@Minimax,terminus-2 :: minimax-m2.5@Minimax,0.422472,0.101685,89,A- system-level,all tagged models are OSS/open-weights,base=MiniMax M2; teacher=none; MiniMax M2 open-weights family,MiniMax M2,none
terminal_agentic,4,terminus-2 :: deepseek-v3.2@deepseek,terminus-2 :: deepseek-v3.2@deepseek,0.395506,0.128652,89,A- system-level,all tagged models are OSS/open-weights,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,DeepSeek-V3,none
terminal_agentic,5,claude-code :: minimax-m2.1@minimax,claude-code :: minimax-m2.1@minimax,0.366292,0.157865,89,A- system-level,all tagged models are OSS/open-weights,base=MiniMax M2; teacher=none; MiniMax M2 open-weights family,MiniMax M2,none
terminal_agentic,6,terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai,terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai,0.357303,0.166854,89,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
terminal_agentic,7,terminus-2 :: glm-4.7@z-ai,terminus-2 :: glm-4.7@z-ai,0.333895,0.190262,89,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
terminal_agentic,8,claude-code :: GLM-4.7@z-ai,claude-code :: GLM-4.7@z-ai,0.332584,0.191573,89,A- system-level,all tagged models are OSS/open-weights,base=unknown; teacher=none; lineage uncertain,unknown,none
terminal_agentic,9,terminus-2 :: accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2 :: accounts/fireworks/models/minimax-m2@fireworks_ai,0.300375,0.223783,89,A- system-level,all tagged models are OSS/open-weights,base=MiniMax M2; teacher=none; MiniMax M2 open-weights family,MiniMax M2,none
terminal_agentic,10,terminus-2 :: minimax-m2.1@openai,terminus-2 :: minimax-m2.1@openai,0.292135,0.232022,89,A- system-level,all tagged models are OSS/open-weights,base=MiniMax M2; teacher=none; MiniMax M2 open-weights family,MiniMax M2,none
terminal_agentic,11,terminus-2 :: moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2 :: moonshotai/Kimi-K2-Instruct-0905@together_ai,0.277903,0.246255,89,A- system-level,all tagged models are OSS/open-weights,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,Kimi K2,none
