domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
algorithmic_lcb,3,Qwen3-8B | deepseek-v3.1-terminus | kimi-k2-0905,Qwen3-8B | deepseek-v3.1-terminus | kimi-k2-0905,Qwen3-8B | DeepSeek-V3 | Kimi K2,none | none | none,1055,0.789573,0.676777,0.112796,0.092891,0.122299,Qwen3-8B / deepseek-v3.1-terminus: 0.594; Qwen3-8B / kimi-k2-0905: 0.594; deepseek-v3.1-terminus / kimi-k2-0905: 0.660,yes; yes; yes,,A
algorithmic_lcb,3,Qwen3-8B | kimi-k2-0905 | deepseek-v3-0324,Qwen3-8B | kimi-k2-0905 | deepseek-v3-0324,Qwen3-8B | Kimi K2 | DeepSeek-V3,none | none | none,1055,0.781991,0.676777,0.105213,0.085308,0.11564,Qwen3-8B / kimi-k2-0905: 0.594; Qwen3-8B / deepseek-v3-0324: 0.628; kimi-k2-0905 / deepseek-v3-0324: 0.685,yes; yes; yes,,A
algorithmic_lcb,2,Qwen3-8B | deepseek-v3.1-terminus,Qwen3-8B | deepseek-v3.1-terminus,Qwen3-8B | DeepSeek-V3,none | none,1055,0.763981,0.676777,0.087204,0.069194,0.096682,Qwen3-8B / deepseek-v3.1-terminus: 0.594,yes,,A
algorithmic_lcb,2,Qwen3-8B | kimi-k2-0905,Qwen3-8B | kimi-k2-0905,Qwen3-8B | Kimi K2,none | none,1055,0.763981,0.676777,0.087204,0.070142,0.097654,Qwen3-8B / kimi-k2-0905: 0.594,yes,,A
algorithmic_lcb,2,Qwen3-8B | deepseek-v3-0324,Qwen3-8B | deepseek-v3-0324,Qwen3-8B | DeepSeek-V3,none | none,1055,0.753555,0.676777,0.076777,0.060664,0.087227,Qwen3-8B / deepseek-v3-0324: 0.628,yes,,A
algorithmic_lcb,2,deepseek-v3.1-terminus | kimi-k2-0905,deepseek-v3.1-terminus | kimi-k2-0905,DeepSeek-V3 | Kimi K2,none | none,1055,0.747867,0.672986,0.074882,0.05782,0.081517,deepseek-v3.1-terminus / kimi-k2-0905: 0.660,yes,,A
algorithmic_lcb,2,kimi-k2-0905 | deepseek-v3-0324,kimi-k2-0905 | deepseek-v3-0324,Kimi K2 | DeepSeek-V3,none | none,1055,0.739336,0.672986,0.066351,0.051185,0.076777,kimi-k2-0905 / deepseek-v3-0324: 0.685,yes,,A
algorithmic_lcb,3,intern-s1-new | Qwen3-8B | deepseek-v3-0324,intern-s1-new | Qwen3-8B | deepseek-v3-0324,Intern-S1 | Qwen3-8B | DeepSeek-V3,none | none | none,1055,0.814218,0.756398,0.05782,0.04455,0.072986,intern-s1-new / Qwen3-8B: 0.623; intern-s1-new / deepseek-v3-0324: 0.619; Qwen3-8B / deepseek-v3-0324: 0.628,yes; yes; yes,,A
algorithmic_lcb,3,intern-s1-new | Qwen3-8B | kimi-k2-0905,intern-s1-new | Qwen3-8B | kimi-k2-0905,Intern-S1 | Qwen3-8B | Kimi K2,none | none | none,1055,0.81327,0.756398,0.056872,0.043602,0.072038,intern-s1-new / Qwen3-8B: 0.623; intern-s1-new / kimi-k2-0905: 0.631; Qwen3-8B / kimi-k2-0905: 0.594,yes; yes; yes,,A
algorithmic_lcb,3,intern-s1-new | Qwen3-8B | deepseek-v3.1-terminus,intern-s1-new | Qwen3-8B | deepseek-v3.1-terminus,Intern-S1 | Qwen3-8B | DeepSeek-V3,none | none | none,1055,0.811374,0.756398,0.054976,0.042654,0.069194,intern-s1-new / Qwen3-8B: 0.623; intern-s1-new / deepseek-v3.1-terminus: 0.635; Qwen3-8B / deepseek-v3.1-terminus: 0.594,yes; yes; yes,,A
