domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
mbpp_humaneval,3,Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct | Llama-3.1-8B-Instruct,Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct | Llama-3.1-8B-Instruct,Llama-3.1 | InternLM3-8B | Llama-3.1-8B,NVIDIA Nemotron alignment (uncertain) | none | none,1137,0.844327,0.617414,0.226913,0.202287,0.239226,Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233; Llama-3.1-Nemotron-Nano-8B-v1 / Llama-3.1-8B-Instruct: 0.386; internlm3-8b-instruct / Llama-3.1-8B-Instruct: 0.303,yes; yes; yes,,A
mbpp_humaneval,3,gemma-2-9b-it | GLM-Z1-9B-0414 | internlm3-8b-instruct,gemma-2-9b-it | GLM-Z1-9B-0414 | internlm3-8b-instruct,Gemma-2-9B | GLM-4-9B | InternLM3-8B,none | GLM-Z1/RL (uncertain) | none,1137,0.854002,0.627968,0.226033,0.200528,0.238347,gemma-2-9b-it / GLM-Z1-9B-0414: 0.354; gemma-2-9b-it / internlm3-8b-instruct: 0.330; GLM-Z1-9B-0414 / internlm3-8b-instruct: 0.200,yes; yes; yes,,A
mbpp_humaneval,3,GLM-Z1-9B-0414 | internlm3-8b-instruct | Llama-3.1-8B-Instruct,GLM-Z1-9B-0414 | internlm3-8b-instruct | Llama-3.1-8B-Instruct,GLM-4-9B | InternLM3-8B | Llama-3.1-8B,GLM-Z1/RL (uncertain) | none | none,1137,0.851363,0.626209,0.225154,0.202287,0.240106,GLM-Z1-9B-0414 / internlm3-8b-instruct: 0.200; GLM-Z1-9B-0414 / Llama-3.1-8B-Instruct: 0.394; internlm3-8b-instruct / Llama-3.1-8B-Instruct: 0.303,yes; yes; yes,,A
mbpp_humaneval,3,GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,GLM-4-9B | Llama-3.1 | InternLM3-8B,GLM-Z1/RL (uncertain) | NVIDIA Nemotron alignment (uncertain) | none,1137,0.846966,0.626209,0.220756,0.19613,0.235708,GLM-Z1-9B-0414 / Llama-3.1-Nemotron-Nano-8B-v1: 0.545; GLM-Z1-9B-0414 / internlm3-8b-instruct: 0.200; Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233,yes; yes; yes,,A
mbpp_humaneval,3,gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,Gemma-2-9B | Llama-3.1 | InternLM3-8B,none | NVIDIA Nemotron alignment (uncertain) | none,1137,0.846966,0.627968,0.218997,0.195251,0.233949,gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.398; gemma-2-9b-it / internlm3-8b-instruct: 0.330; Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233,yes; yes; yes,,A
mbpp_humaneval,3,glm-4-9b-chat | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,glm-4-9b-chat | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,GLM-4-9B | Llama-3.1 | InternLM3-8B,none | NVIDIA Nemotron alignment (uncertain) | none,1137,0.843448,0.645558,0.197889,0.175,0.219019,glm-4-9b-chat / Llama-3.1-Nemotron-Nano-8B-v1: 0.397; glm-4-9b-chat / internlm3-8b-instruct: 0.344; Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233,yes; yes; yes,,A
mbpp_humaneval,3,gemma-2-9b-it | internlm3-8b-instruct | Llama-3.1-8B-Instruct,gemma-2-9b-it | internlm3-8b-instruct | Llama-3.1-8B-Instruct,Gemma-2-9B | InternLM3-8B | Llama-3.1-8B,none | none | none,1137,0.824099,0.627968,0.19613,0.174142,0.2146,gemma-2-9b-it / internlm3-8b-instruct: 0.330; gemma-2-9b-it / Llama-3.1-8B-Instruct: 0.528; internlm3-8b-instruct / Llama-3.1-8B-Instruct: 0.303,yes; yes; yes,,A
mbpp_humaneval,3,gemma-2-9b-it | GLM-Z1-9B-0414 | Llama-3.1-8B-Instruct,gemma-2-9b-it | GLM-Z1-9B-0414 | Llama-3.1-8B-Instruct,Gemma-2-9B | GLM-4-9B | Llama-3.1-8B,none | GLM-Z1/RL (uncertain) | none,1138,0.813708,0.627417,0.186292,0.160808,0.197715,gemma-2-9b-it / GLM-Z1-9B-0414: 0.354; gemma-2-9b-it / Llama-3.1-8B-Instruct: 0.528; GLM-Z1-9B-0414 / Llama-3.1-8B-Instruct: 0.394,yes; yes; yes,,A
mbpp_humaneval,3,gemma-2-9b-it | GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1,gemma-2-9b-it | GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1,Gemma-2-9B | GLM-4-9B | Llama-3.1,none | GLM-Z1/RL (uncertain) | NVIDIA Nemotron alignment (uncertain),1138,0.813708,0.627417,0.186292,0.160808,0.196837,gemma-2-9b-it / GLM-Z1-9B-0414: 0.354; gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.398; GLM-Z1-9B-0414 / Llama-3.1-Nemotron-Nano-8B-v1: 0.545,yes; yes; yes,,A
mbpp_humaneval,2,GLM-Z1-9B-0414 | internlm3-8b-instruct,GLM-Z1-9B-0414 | internlm3-8b-instruct,GLM-4-9B | InternLM3-8B,GLM-Z1/RL (uncertain) | none,1137,0.808267,0.626209,0.182058,0.16007,0.197889,GLM-Z1-9B-0414 / internlm3-8b-instruct: 0.200,yes,,A
