domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
repo_bugfix_system_verified,3,20250804_codesweep_sweagent_kimi_k2_instruct | 20250901_entroPO_R2E_QwenCoder30BA3B | 20250520_openhands_devstral_small,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],Kimi K2 | Qwen3-Coder | Devstral/Mistral,none | none | none,500,0.664,0.534,0.13,0.094849,0.138462,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B]: 0.583; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.547; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.601,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250804_codesweep_sweagent_kimi_k2_instruct | 20250901_entroPO_R2E_QwenCoder30BA3B | 20250616_Skywork-SWE-32B+TTS_Bo8,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] | Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8],Kimi K2 | Qwen3-Coder | Qwen2.5-Coder,none | none | none,500,0.662,0.534,0.128,0.095599,0.148154,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B]: 0.583; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.607; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.580,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250629_deepswerl_r2eagent_tts | 20250804_codesweep_sweagent_kimi_k2_instruct | 20250901_entroPO_R2E_QwenCoder30BA3B,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B],unknown | Kimi K2 | Qwen3-Coder,none | none | none,500,0.706,0.588,0.118,0.064825,0.144717,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct]: 0.554; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B]: 0.566; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B]: 0.583,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250901_entroPO_R2E_QwenCoder30BA3B | 20250616_Skywork-SWE-32B+TTS_Bo8 | 20250520_openhands_devstral_small,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] | Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],Qwen3-Coder | Qwen2.5-Coder | Devstral/Mistral,none | none | none,500,0.636,0.522,0.114,0.083636,0.129672,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.580; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.601; Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.611,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250629_deepswerl_r2eagent_tts | 20250804_codesweep_sweagent_kimi_k2_instruct | 20250520_openhands_devstral_small,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],unknown | Kimi K2 | Devstral/Mistral,none | none | none,500,0.7,0.588,0.112,0.06221,0.137888,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct]: 0.554; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.533; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.547,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250804_codesweep_sweagent_kimi_k2_instruct | 20250616_Skywork-SWE-32B+TTS_Bo8 | 20250520_openhands_devstral_small,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],Kimi K2 | Qwen2.5-Coder | Devstral/Mistral,none | none | none,500,0.646,0.534,0.112,0.092457,0.144034,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.607; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.547; Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.611,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250629_deepswerl_r2eagent_tts | 20250901_entroPO_R2E_QwenCoder30BA3B | 20250520_openhands_devstral_small,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],unknown | Qwen3-Coder | Devstral/Mistral,none | none | none,500,0.696,0.588,0.108,0.070373,0.128056,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B]: 0.566; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.533; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.601,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250901_entroPO_R2E_QwenCoder30BA3B_tts | 20250629_deepswerl_r2eagent_tts | 20250804_codesweep_sweagent_kimi_k2_instruct,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct],Qwen3-Coder | unknown | Kimi K2,none | none | none,500,0.71,0.604,0.106,0.056695,0.132884,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] / DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts]: 0.677; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] / CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct]: 0.580; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct]: 0.554,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250901_entroPO_R2E_QwenCoder30BA3B_tts | 20250629_deepswerl_r2eagent_tts | 20250520_openhands_devstral_small,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small],Qwen3-Coder | unknown | Devstral/Mistral,none | none | none,500,0.71,0.604,0.106,0.066347,0.12618,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] / DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts]: 0.677; EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.530; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / OpenHands + DevStral Small 2505 [20250520_openhands_devstral_small]: 0.533,yes; yes; yes,,A- system-level
repo_bugfix_system_verified,3,20250629_deepswerl_r2eagent_tts | 20250804_codesweep_sweagent_kimi_k2_instruct | 20250616_Skywork-SWE-32B+TTS_Bo8,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] | Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8],unknown | Kimi K2 | Qwen2.5-Coder,none | none | none,500,0.694,0.588,0.106,0.065213,0.126251,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct]: 0.554; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.544; CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct] / Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]: 0.607,yes; yes; yes,,A- system-level
