domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
terminal_agentic,3,claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai | terminus-2 :: glm-4.7@z-ai,claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai | terminus-2 :: glm-4.7@z-ai,MiniMax M2 | Kimi K2 | unknown,none | none | none,89,0.501124,0.366292,0.134831,0.085337,0.164045,claude-code :: minimax-m2.1@minimax / terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai: NA; claude-code :: minimax-m2.1@minimax / terminus-2 :: glm-4.7@z-ai: NA; terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai / terminus-2 :: glm-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,claude-code :: minimax-m2.1@minimax | terminus-2 :: glm-4.7@z-ai | claude-code :: GLM-4.7@z-ai,claude-code :: minimax-m2.1@minimax | terminus-2 :: glm-4.7@z-ai | claude-code :: GLM-4.7@z-ai,MiniMax M2 | unknown | unknown,none | none | none,89,0.496629,0.366292,0.130337,0.08309,0.165562,claude-code :: minimax-m2.1@minimax / terminus-2 :: glm-4.7@z-ai: NA; claude-code :: minimax-m2.1@minimax / claude-code :: GLM-4.7@z-ai: NA; terminus-2 :: glm-4.7@z-ai / claude-code :: GLM-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai,DeepSeek-V3 | MiniMax M2 | Kimi K2,none | none | none,89,0.516854,0.395506,0.121348,0.078652,0.157303,terminus-2 :: deepseek-v3.2@deepseek / claude-code :: minimax-m2.1@minimax: NA; terminus-2 :: deepseek-v3.2@deepseek / terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai: NA; claude-code :: minimax-m2.1@minimax / terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai: NA,no; no; no,,A- system-level
terminal_agentic,3,claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai | claude-code :: GLM-4.7@z-ai,claude-code :: minimax-m2.1@minimax | terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai | claude-code :: GLM-4.7@z-ai,MiniMax M2 | Kimi K2 | unknown,none | none | none,89,0.485393,0.366292,0.119101,0.07191,0.146067,claude-code :: minimax-m2.1@minimax / terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai: NA; claude-code :: minimax-m2.1@minimax / claude-code :: GLM-4.7@z-ai: NA; terminus-2 :: moonshotai/Kimi-K2-Thinking@together_ai / claude-code :: GLM-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | terminus-2 :: glm-4.7@z-ai,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | terminus-2 :: glm-4.7@z-ai,DeepSeek-V3 | MiniMax M2 | unknown,none | none | none,89,0.513858,0.395506,0.118352,0.077884,0.156554,terminus-2 :: deepseek-v3.2@deepseek / claude-code :: minimax-m2.1@minimax: NA; terminus-2 :: deepseek-v3.2@deepseek / terminus-2 :: glm-4.7@z-ai: NA; claude-code :: minimax-m2.1@minimax / terminus-2 :: glm-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | claude-code :: GLM-4.7@z-ai,terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax | claude-code :: GLM-4.7@z-ai,DeepSeek-V3 | MiniMax M2 | unknown,none | none | none,89,0.51236,0.395506,0.116854,0.074157,0.157303,terminus-2 :: deepseek-v3.2@deepseek / claude-code :: minimax-m2.1@minimax: NA; terminus-2 :: deepseek-v3.2@deepseek / claude-code :: GLM-4.7@z-ai: NA; claude-code :: minimax-m2.1@minimax / claude-code :: GLM-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: kimi-k2.5@kimi | terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek,terminus-2 :: kimi-k2.5@kimi | terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek,Kimi K2 | MiniMax M2 | DeepSeek-V3,none | none | none,89,0.543258,0.432022,0.111236,0.068525,0.134831,terminus-2 :: kimi-k2.5@kimi / terminus-2 :: minimax-m2.5@Minimax: NA; terminus-2 :: kimi-k2.5@kimi / terminus-2 :: deepseek-v3.2@deepseek: NA; terminus-2 :: minimax-m2.5@Minimax / terminus-2 :: deepseek-v3.2@deepseek: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: kimi-k2.5@kimi | terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax,terminus-2 :: kimi-k2.5@kimi | terminus-2 :: deepseek-v3.2@deepseek | claude-code :: minimax-m2.1@minimax,Kimi K2 | DeepSeek-V3 | MiniMax M2,none | none | none,89,0.538764,0.432022,0.106742,0.067978,0.141573,terminus-2 :: kimi-k2.5@kimi / terminus-2 :: deepseek-v3.2@deepseek: NA; terminus-2 :: kimi-k2.5@kimi / claude-code :: minimax-m2.1@minimax: NA; terminus-2 :: deepseek-v3.2@deepseek / claude-code :: minimax-m2.1@minimax: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek | terminus-2 :: glm-4.7@z-ai,terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek | terminus-2 :: glm-4.7@z-ai,MiniMax M2 | DeepSeek-V3 | unknown,none | none | none,89,0.525843,0.422472,0.103371,0.065169,0.134831,terminus-2 :: minimax-m2.5@Minimax / terminus-2 :: deepseek-v3.2@deepseek: NA; terminus-2 :: minimax-m2.5@Minimax / terminus-2 :: glm-4.7@z-ai: NA; terminus-2 :: deepseek-v3.2@deepseek / terminus-2 :: glm-4.7@z-ai: NA,no; no; no,,A- system-level
terminal_agentic,3,terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek | claude-code :: GLM-4.7@z-ai,terminus-2 :: minimax-m2.5@Minimax | terminus-2 :: deepseek-v3.2@deepseek | claude-code :: GLM-4.7@z-ai,MiniMax M2 | DeepSeek-V3 | unknown,none | none | none,89,0.525843,0.422472,0.103371,0.062921,0.137135,terminus-2 :: minimax-m2.5@Minimax / terminus-2 :: deepseek-v3.2@deepseek: NA; terminus-2 :: minimax-m2.5@Minimax / claude-code :: GLM-4.7@z-ai: NA; terminus-2 :: deepseek-v3.2@deepseek / claude-code :: GLM-4.7@z-ai: NA,no; no; no,,A- system-level
