model,suite,base_group,rows,freshness
01-ai--Yi-1.5-34B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-1.5-34B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-1.5-6B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-1.5-6B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-1.5-9B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-1.5-9B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-Coder-9B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
01-ai--Yi-Coder-9B-Chat,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
01-ai--Yi-Coder-9B-Chat,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
01-ai--Yi-Coder-9B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Artigenz--Artigenz-Coder-DS-6.7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Artigenz--Artigenz-Coder-DS-6.7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder_QW_7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder_QW_7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder_S_6.7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Bin12345--AutoCoder_S_6.7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-08-2024,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-08-2024,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-plus,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-plus,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-plus-08-2024,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
CohereForAI--c4ai-command-r-plus-08-2024,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
NTQAI--Nxcode-CQ-7B-orpo,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
NTQAI--Nxcode-CQ-7B-orpo,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Nexusflow--Athene-70B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Nexusflow--Athene-70B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Nexusflow--Athene-V2-Agent,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
Nexusflow--Athene-V2-Agent,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
Nexusflow--Athene-V2-Chat,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
Nexusflow--Athene-V2-Chat,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
NousResearch--Hermes-2-Pro-Llama-3-70B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
NousResearch--Hermes-2-Pro-Llama-3-70B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
NousResearch--Hermes-2-Theta-Llama-3-70B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
NousResearch--Hermes-2-Theta-Llama-3-70B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
NovaSky-AI--Sky-T1-32B-Flash,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
NovaSky-AI--Sky-T1-32B-Flash,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
NovaSky-AI--Sky-T1-32B-Preview,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
NovaSky-AI--Sky-T1-32B-Preview,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
Phind--Phind-CodeLlama-34B-v2,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Phind--Phind-CodeLlama-34B-v2,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--CodeQwen1.5-7B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--CodeQwen1.5-7B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--QwQ-32B,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
Qwen--QwQ-32B,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
Qwen--QwQ-32B-Preview,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
Qwen--QwQ-32B-Preview,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-110B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-110B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-32B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-32B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-72B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen1.5-72B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2-72B-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2-72B-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-0.5B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-0.5B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-1.5B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-1.5B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-14B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-14B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
