source_id,k,systems,base_engines,n_common,oracle,best_single_common,headroom,pairwise_phi,phi_floors_met,tier
swe_verified,3,live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) [20251120_livesweagent_gemini-3-pro-preview] | EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet [20250804_epam-ai-run-claude-4-sonnet] | Warp [20250901_warp],google/gemini-3 | anthropic/claude-sonnet-4 | anthropic/claude-sonnet-4+openai/gpt-5,500,0.864,0.774,0.09,live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) / EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet: 0.666; live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) / Warp: 0.617; EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet / Warp: 0.603,True,A- system-level
swe_verified,3,EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet [20250804_epam-ai-run-claude-4-sonnet] | ACoder [20250819_ACoder] | Warp [20250901_warp],anthropic/claude-sonnet-4 | anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro+openai/gpt-5 | anthropic/claude-sonnet-4+openai/gpt-5,500,0.858,0.768,0.09,EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet / ACoder: 0.688; EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet / Warp: 0.603; ACoder / Warp: 0.594,True,A- system-level
swe_verified,3,live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) [20251120_livesweagent_gemini-3-pro-preview] | ACoder [20250819_ACoder] | Warp [20250901_warp],google/gemini-3 | anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro+openai/gpt-5 | anthropic/claude-sonnet-4+openai/gpt-5,500,0.862,0.774,0.088,live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) / ACoder: 0.634; live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) / Warp: 0.617; ACoder / Warp: 0.594,True,A- system-level
swe_verified,3,ACoder [20250819_ACoder] | Warp [20250901_warp] | TRAE + Claude Sonnet 4 + Opus 4 + Sonnet 3.7 + Gemini 2.5 Pro [20250612_trae],anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro+openai/gpt-5 | anthropic/claude-sonnet-4+openai/gpt-5 | anthropic/claude-3.7-sonnet+anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro,500,0.848,0.764,0.084,ACoder / Warp: 0.594; ACoder / TRAE + Claude Sonnet 4 + Opus 4 + Sonnet 3.7 + Gemini 2.5 Pro: 0.684; Warp / TRAE + Claude Sonnet 4 + Opus 4 + Sonnet 3.7 + Gemini 2.5 Pro: 0.644,True,A- system-level
swe_verified,3,TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code] | 20251127_openhands_claude-opus-4-5 [20251127_openhands_claude-opus-4-5] | live-SWE-agent + Gemini 3 Pro Preview (2025-11-18) [20251120_livesweagent_gemini-3-pro-preview],doubao-seed-1-6+doubao-seed-code | system/openhands | google/gemini-3,500,0.87,0.788,0.082,TRAE + Doubao-Seed-Code / 20251127_openhands_claude-opus-4-5: 0.602; TRAE + Doubao-Seed-Code / live-SWE-agent + Gemini 3 Pro Preview (2025-11-18): 0.621; 20251127_openhands_claude-opus-4-5 / live-SWE-agent + Gemini 3 Pro Preview (2025-11-18): 0.708,True,A- system-level
swe_test,3,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev] | SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219],anthropic/claude-sonnet-4+openai/gpt-5 | system/atlassian | anthropic/claude-3.7-sonnet,2294,0.524847,0.442459,0.082389,Salesforce AI Research SAGE (bash-only) / Atlassian Rovo Dev (2025-06-05): 0.690; Salesforce AI Research SAGE (bash-only) / SWE-agent 1.0 (Claude 3.7 Sonnet): 0.606; Atlassian Rovo Dev (2025-06-05) / SWE-agent 1.0 (Claude 3.7 Sonnet): 0.669,True,A- system-level
swe_test,3,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev] | Amazon Q Developer Agent (v20250405-dev) [20250522_amazon-q-developer-agent-20250405-dev],anthropic/claude-sonnet-4+openai/gpt-5 | system/atlassian | system/amazon-q,2294,0.524412,0.442459,0.081953,Salesforce AI Research SAGE (bash-only) / Atlassian Rovo Dev (2025-06-05): 0.690; Salesforce AI Research SAGE (bash-only) / Amazon Q Developer Agent (v20250405-dev): 0.633; Atlassian Rovo Dev (2025-06-05) / Amazon Q Developer Agent (v20250405-dev): 0.738,True,A- system-level
swe_test,3,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev] | Amazon Q Developer Agent (v20241202-dev) [20250131_amazon-q-developer-agent-20241202-dev],anthropic/claude-sonnet-4+openai/gpt-5 | system/atlassian | system/amazon-q,2294,0.519616,0.442459,0.077158,Salesforce AI Research SAGE (bash-only) / Atlassian Rovo Dev (2025-06-05): 0.690; Salesforce AI Research SAGE (bash-only) / Amazon Q Developer Agent (v20241202-dev): 0.559; Atlassian Rovo Dev (2025-06-05) / Amazon Q Developer Agent (v20241202-dev): 0.640,True,A- system-level
swe_test,3,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Amazon Q Developer Agent (v20250405-dev) [20250522_amazon-q-developer-agent-20250405-dev] | SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219],anthropic/claude-sonnet-4+openai/gpt-5 | system/amazon-q | anthropic/claude-3.7-sonnet,2294,0.511334,0.442459,0.068875,Salesforce AI Research SAGE (bash-only) / Amazon Q Developer Agent (v20250405-dev): 0.633; Salesforce AI Research SAGE (bash-only) / SWE-agent 1.0 (Claude 3.7 Sonnet): 0.606; Amazon Q Developer Agent (v20250405-dev) / SWE-agent 1.0 (Claude 3.7 Sonnet): 0.748,True,A- system-level
swe_test,2,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev],anthropic/claude-sonnet-4+openai/gpt-5 | system/atlassian,2294,0.507411,0.442459,0.064952,Salesforce AI Research SAGE (bash-only) / Atlassian Rovo Dev (2025-06-05): 0.690,True,A- system-level
terminalbench,3,simple_codex :: gpt-5.3-codex@openai | terminus-3-3 :: gemini-3.1-pro-preview@Google | claude-code-enhanced :: claude-opus-4-6@anthropic,openai/gpt-5 | google/gemini-3 | anthropic/claude-opus-4,89,0.873783,0.750562,0.123221,simple_codex :: gpt-5.3-codex@openai / terminus-3-3 :: gemini-3.1-pro-preview@Google: NA; simple_codex :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; terminus-3-3 :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,2,mux :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,openai/gpt-5 | anthropic/claude-opus-4,89,0.805243,0.685393,0.11985,mux :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | simple_codex :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.901873,0.78427,0.117603,forge :: gemini-3.1-pro-preview@Google / simple_codex :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; simple_codex :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | Factory Droid :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.901124,0.78427,0.116854,forge :: gemini-3.1-pro-preview@Google / Factory Droid :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; Factory Droid :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | Factory Droid :: gpt-5.3-codex@openai | Factory Droid :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.898876,0.78427,0.114607,forge :: gemini-3.1-pro-preview@Google / Factory Droid :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / Factory Droid :: claude-opus-4-6@anthropic: NA; Factory Droid :: gpt-5.3-codex@openai / Factory Droid :: claude-opus-4-6@anthropic: NA,False,A- system-level
