task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,919,4096,5015,0.04210875,,0.04210875,77.77252944698557,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1003,4096,5099,0.064449,,0.064449,68.58272335698712,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,908,4096,5004,,,,144.8740078920091,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,failed,0,,,,,,,,Expecting value: line 261 column 1 (char 1430)
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,936,4096,5032,,,,71.93456016201526,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,599,4096,4695,0.04170875,,0.04170875,88.30971134800347,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,662,1512,2174,0.024666,,0.024666,26.81411859099171,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,602,4096,4698,,,,136.39883950797957,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,608,4096,4704,,,,181.3177772279887,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,621,4096,4717,,,,78.13908986601746,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,365,4096,4461,0.04141625,,0.04141625,75.83076053200057,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,395,1215,1610,0.01941,,0.01941,17.93061748999753,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,364,4096,4460,,,,203.78176074600196,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,360,2954,3314,,,,62.04365172598045,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,371,410,781,,,,17.24474721797742,
