task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,919,4818,5737,0.04932875,,0.04932875,88.31961924998905,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1003,16384,17387,0.24876900000000002,,0.24876900000000002,238.2691738959984,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,908,16384,17292,0.0415048,,0.0415048,80.5808632709959,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,909,392,1301,0.000495621,,0.000495621,9.20767130999593,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,936,3543,4479,0.006583320000000001,,0.006583320000000001,101.63300601500669,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,599,14474,15073,0.14548875,,0.14548875,296.95425881200936,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,662,1499,2161,0.024471,,0.024471,25.40587501099799,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,602,16384,16986,0.0413212,,0.0413212,84.80372208799236,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,608,613,1221,0.0006121828999999999,,0.0006121828999999999,10.040198604983743,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,621,5418,6039,0.00988902,,0.00988902,79.71291546200518,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,365,8756,9121,0.08801625,,0.08801625,186.94354437699076,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,395,5331,5726,0.08115,,0.08115,77.19313233499997,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,364,16384,16748,0.041178400000000004,,0.041178400000000004,72.50993949198164,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,360,496,856,0.0004689216,,0.0004689216,8.92484291800065,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,371,294,665,0.0006108200000000001,,0.0006108200000000001,5.341663302009692,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,887,13330,14217,0.13440875,,0.13440875,261.1739915260114,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1008,16384,17392,0.248784,,0.248784,246.9084840710275,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,882,16384,17266,0.041489200000000004,,0.041489200000000004,90.0059220129624,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,906,16384,17290,0.013290219600000002,,0.013290219600000002,280.408045552962,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,896,3098,3994,0.005773520000000001,,0.005773520000000001,47.29156083898852,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,274,572,846,0.0060625,,0.0060625,12.406578922993504,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,301,1214,1515,0.019113,,0.019113,18.95795079797972,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,273,16384,16657,0.0411238,,0.0411238,66.7770749910269,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,273,93,366,0.0001290639,,0.0001290639,3.1022251860122196,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,300,231,531,0.0004818,,0.0004818,5.264772947004531,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,1203,7459,8662,0.07609375,,0.07609375,140.1891692559584,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1323,1428,2751,0.025389000000000002,,0.025389000000000002,23.100449841993395,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,1180,16384,17564,0.041668000000000004,,0.041668000000000004,68.35106918599922,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,1216,465,1681,0.0006154897,,0.0006154897,9.206599185999949,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,1218,909,2127,0.00190416,,0.00190416,19.61157585901674,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,394,721,1115,0.0077025,,0.0077025,11.689789492986165,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,439,1654,2093,0.026126999999999997,,0.026126999999999997,21.473021814017557,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,387,16384,16771,0.041192200000000005,,0.041192200000000005,55.542577196029015,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,397,360,757,0.0003675154,,0.0003675154,7.465770707989577,
