model,base_group,total_rows,coding_rows,latest_utc
DeepSeek-Coder-V2-Lite-Instruct,,294,128,2024-12-10
DeepSeek-R1-Distill-Qwen-32B,,318,128,2025-01-21
DeepSeek-V2-Lite-Chat,,294,128,2024-12-10
Dracarys2-72B-Instruct,,100,0,2024-12-10
Llama-2-7b-chat-hf,,294,128,2024-12-10
Llama-3.1-Nemotron-70B-Instruct-HF,,100,0,2024-12-10
Meta-Llama-3-70B-Instruct,,294,128,2024-12-10
Meta-Llama-3-8B-Instruct,,294,128,2024-12-10
Meta-Llama-3.1-405B-Instruct-Turbo,,294,128,2024-12-10
Meta-Llama-3.1-70B-Instruct-Turbo,,294,128,2024-12-10
Meta-Llama-3.1-8B-Instruct-Turbo,,294,128,2024-12-10
Mistral-7B-Instruct-v0.2,,294,128,2024-12-10
Mistral-7B-Instruct-v0.3,,294,128,2024-12-10
Mixtral-8x22B-Instruct-v0.1,,254,88,2024-12-10
Mixtral-8x7B-Instruct-v0.1,,254,88,2024-12-10
OpenHermes-2.5-Mistral-7B,,294,128,2024-12-10
Phi-3-medium-128k-instruct,,294,128,2024-12-10
Phi-3-medium-4k-instruct,,294,128,2024-12-10
Phi-3-mini-128k-instruct,,422,256,2024-12-10
Phi-3-mini-4k-instruct,,422,256,2024-12-10
Phi-3-small-128k-instruct,,372,206,2024-12-10
Phi-3-small-8k-instruct,,372,206,2024-12-10
Phi-3.5-MoE-instruct,,294,128,2024-12-10
Phi-3.5-mini-instruct,,294,128,2024-12-10
QwQ-32B-Preview,,318,128,2024-12-10
Qwen1.5-0.5B-Chat,,294,128,2024-12-10
Qwen1.5-1.8B-Chat,,294,128,2024-12-10
Qwen1.5-110B-Chat,,294,128,2024-12-10
Qwen1.5-4B-Chat,,294,128,2024-12-10
Qwen1.5-72B-Chat,,294,128,2024-12-10
Qwen1.5-7B-Chat,,294,128,2024-12-10
Qwen2-0.5B-Instruct,,294,128,2024-12-10
Qwen2-1.5B-Instruct,,294,128,2024-12-10
Qwen2-72B-Instruct,,294,128,2024-12-10
Qwen2-7B-Instruct,,294,128,2024-12-10
Qwen2.5-72B-Instruct-Turbo,,394,128,2024-12-10
Qwen2.5-7B-Instruct-Turbo,,522,256,2024-12-10
Qwen2.5-Coder-32B-Instruct,,394,128,2024-12-10
Reflection-Llama-3.1-70B,,294,128,2024-12-10
Smaug-Qwen2-72B-Instruct,,40,40,2024-12-10
Starling-LM-7B-beta,,294,128,2024-12-10
Yi-6B-Chat,,294,128,2024-12-10
acm_rewrite_qwen2-72B-Chat,,254,88,2024-12-10
amazon.nova-lite-v1:0,,418,128,2025-02-06
amazon.nova-micro-v1:0,,418,128,2025-02-06
amazon.nova-pro-v1:0,,418,128,2025-02-06
azerogpt,,418,128,2025-04-03
chatgpt-4o-latest-2025-01-29,,418,128,2025-02-06
chatgpt-4o-latest-2025-01-30,,318,128,2025-02-06
chatgpt-4o-latest-2025-03-27,,494,128,2025-04-01
claude-3-5-haiku-20241022,,494,128,2025-02-06
claude-3-5-opus-20240229,,4,0,2025-02-06
claude-3-5-sonnet-20240620,,394,128,2024-12-10
claude-3-5-sonnet-20241022,,494,128,2025-02-06
claude-3-7-sonnet-20250219-base,anthropic/claude-3.7-sonnet,418,128,2025-04-01
claude-3-7-sonnet-20250219-thinking-25k,anthropic/claude-3.7-sonnet,318,128,2025-02-24
claude-3-7-sonnet-20250219-thinking-64k,anthropic/claude-3.7-sonnet,418,128,2025-04-01
claude-3-haiku-20240307,,394,128,2025-02-06
claude-3-opus-20240229,,494,128,2025-02-06
claude-3-sonnet-20240229,,294,128,2025-02-06
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,,294,128,2025-02-06
coding-meta-llama-3.1-70b-instruct-chk-50,,294,128,2024-12-10
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,,294,128,2025-02-06
command-a-03-2025,,150,0,2025-04-03
command-r-03-2024,,344,128,2025-02-06
command-r-08-2024,,494,128,2025-04-02
command-r-plus-04-2024,,394,128,2025-02-06
command-r-plus-08-2024,,622,256,2025-04-03
deepseek-chat,deepseek/deepseek-v3-chat,444,178,2024-12-11
deepseek-coder,,294,128,2024-12-10
deepseek-r1,,418,128,2025-04-03
deepseek-r1-distill-llama-70b,,418,128,2025-04-02
deepseek-r1-distill-qwen-32b,,418,128,2025-04-04
deepseek-r1-local,,70,33,2025-01-30
deepseek-r1-local-2,,318,128,2025-02-13
deepseek-v3,deepseek/deepseek-v3-chat,418,128,2025-04-01
deepseek-v3-0324,deepseek/deepseek-v3-chat,418,128,2025-04-01
dracarys2-72b-instruct,,418,128,2025-02-06
dracarys2-llama-3.1-70b-instruct,,418,128,2025-04-03
gemini-1.5-flash-001,,394,128,2024-12-12
gemini-1.5-flash-002,,394,128,2025-02-06
gemini-1.5-flash-8b-001,,150,0,2025-04-03
gemini-1.5-flash-8b-exp-0827,,394,128,2024-12-10
gemini-1.5-flash-8b-exp-0924,,318,128,2025-02-06
gemini-1.5-flash-exp-0827,,395,129,2024-12-12
gemini-1.5-pro-001,,394,128,2025-02-06
gemini-1.5-pro-002,,494,128,2025-02-06
gemini-1.5-pro-exp-0801,,295,129,2024-12-12
gemini-1.5-pro-exp-0827,,398,132,2024-12-12
gemini-2.0-flash,google/gemini-2.0-flash,100,0,2025-02-06
gemini-2.0-flash-001,google/gemini-2.0-flash,418,128,2025-04-07
gemini-2.0-flash-exp,google/gemini-2.0-flash,418,128,2025-02-06
gemini-2.0-flash-lite-001,google/gemini-2.0-flash,418,128,2025-04-02
gemini-2.0-flash-lite-preview-02-05,google/gemini-2.0-flash,418,128,2025-02-06
gemini-2.0-flash-thinking-exp-01-21,google/gemini-2.0-flash,418,128,2025-02-06
gemini-2.0-flash-thinking-exp-1219,google/gemini-2.0-flash,418,128,2025-02-06
gemini-2.0-pro-exp-02-05,,418,128,2025-04-01
gemini-2.5-pro-exp-03-25,google/gemini-2.5-pro,418,128,2025-04-01
gemini-exp-1114,,396,130,2024-12-12
gemini-exp-1121,,396,130,2024-12-12
gemini-exp-1206,,418,128,2025-02-06
gemma-1.1-7b-it,,294,128,2024-12-10
gemma-2-27b-it,,494,128,2025-02-06
gemma-2-9b-it,,394,128,2024-12-10
gemma-3-12b-it,,150,0,2025-04-03
gemma-3-27b-it,,418,128,2025-04-02
gemma-3-4b-it,,150,0,2025-04-03
gpt-3.5-turbo-0125,,294,128,2025-02-06
gpt-3.5-turbo-1106,,294,128,2025-02-06
gpt-4-0125-preview,,394,128,2025-02-06
gpt-4-0613,,294,128,2024-12-10
gpt-4-1106-preview,openai/gpt-4.1 family,294,128,2025-02-06
gpt-4-turbo-2024-04-09,,394,128,2025-02-06
gpt-4.5-preview-2025-02-27,,418,128,2025-04-03
gpt-4o-2024-05-13,,394,128,2025-02-06
gpt-4o-2024-08-06,,494,128,2025-04-01
gpt-4o-2024-11-20,,494,128,2025-04-01
gpt-4o-mini-2024-07-18,,494,128,2025-02-06
grok-2,,293,128,2025-02-06
grok-2-1212,,418,128,2025-02-06
grok-2-mini,,293,128,2025-02-06
grok-3,,268,128,2025-02-26
grok-3-beta,,393,128,2025-03-18
grok-3-mini-reasoning-beta,,318,128,2025-03-14
grok-beta,,418,128,2025-02-06
hermes-3-llama-3.1-70b,,293,128,2024-12-10
