source_id,system_id,display_name,base_engine,family,model_key,pass_rate,n_tasks
swe_verified,20251127_openhands_claude-opus-4-5,20251127_openhands_claude-opus-4-5 [20251127_openhands_claude-opus-4-5],system/openhands,openhands,,0.776,500
swe_verified,20250819_ACoder,ACoder [20250819_ACoder],anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro+openai/gpt-5,acoder,claude-4-sonnet; claude-4.1-opus; gpt-5-0807-global; gemini-2.5-pro-06-17,0.764,500
swe_verified,20250206_agentscope,AgentScope [20250206_agentscope],anthropic/claude-sonnet-4,agentscope,claude-3-5-sonnet-20241022,0.634,500
swe_verified,20250214_agentless_lite_o3_mini,Agentless Lite + O3 Mini (20250214) [20250214_agentless_lite_o3_mini],o3-mini,agentless,o3-mini,0.424,500
swe_verified,20250514_aime_coder,Aime-coder v1 + Anthopic Claude 3.7 Sonnet [20250514_aime_coder],anthropic/claude-3.7-sonnet,aime,claude-3-7-sonnet-20250219,0.664,500
swe_verified,20250527_amazon.nova-premier-v1.0,Amazon Nova Premier 1.0 (2025-04-30) [20250527_amazon.nova-premier-v1.0],amazon-nova-premier-v1-0,amazon,amazon.nova-premier-v1:0,0.424,500
swe_verified,20250405_amazon-q-developer-agent-20250405-dev,Amazon Q Developer Agent (v20250405-dev) [20250405_amazon-q-developer-agent-20250405-dev],system/amazon-q,amazon-q,,0.654,500
swe_verified,20250924_artemis_agent_v2,Artemis Agent v2 (2025-09-24) [20250924_artemis_agent_v2],anthropic/claude-sonnet-4,artemis,claude-sonnet-4-20250514,0.57,500
swe_verified,20250902_atlassian-rovo-dev,Atlassian Rovo Dev (2025-09-02) [20250902_atlassian-rovo-dev],anthropic/claude-sonnet-4+openai/gpt-5,atlassian,claude-sonnet-4-20250514; gpt-5,0.768,500
swe_verified,20250316_augment_agent_v0,Augment Agent v0 [20250316_augment_agent_v0],system/augment,augment,,0.654,500
swe_verified,20250610_augment_agent_v1,Augment Agent v1 [20250610_augment_agent_v1],system/augment,augment,,0.704,500
swe_verified,20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,AutoCodeRover-v2.1 (Claude-3.5-Sonnet-20241022) [20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022],anthropic/claude-sonnet-4,autocoderover,claude-3-5-sonnet-20241022,0.516,500
swe_verified,20250110_blackboxai_agent_v1.1,Blackbox AI Agent [20250110_blackboxai_agent_v1.1],system/blackbox,blackbox,,0.628,500
swe_verified,20250710_bloop,Bloop [20250710_bloop],anthropic/claude-sonnet-4,bloop,claude-4-sonnet-20250514,0.712,500
swe_verified,20250120_Bracket,Bracket.sh [20250120_Bracket],system/bracket,bracket,,0.532,500
swe_verified,20250118_codeshellagent_gemini_2.0_flash_experimental,CodeShellAgent + Gemini 2.0 Flash (Experimental) [20250118_codeshellagent_gemini_2.0_flash_experimental],gemini-2-0-flash-exp,codeshellagent,gemini-2.0-flash-exp,0.442,500
swe_verified,20250804_codesweep_sweagent_kimi_k2_instruct,CodeSweep - SWE-agent - Kimi K2 Instruct [20250804_codesweep_sweagent_kimi_k2_instruct],moonshot/kimi-k2,swe-agent,kimi-k2-instruct,0.534,500
swe_verified,20250629_deepswerl_r2eagent_tts,DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts],https-huggingface-co-agentica-org-deepswe-preview,deepswe,https://huggingface.co/agentica-org/DeepSWE-Preview,0.588,500
swe_verified,20250629_deepswerl_r2eagent,DeepSWE-Preview [20250629_deepswerl_r2eagent],https-huggingface-co-agentica-org-deepswe-preview,deepswe,https://huggingface.co/agentica-org/DeepSWE-Preview,0.422,500
swe_verified,20250228_epam-ai-run-claude-3-5-sonnet,EPAM AI/Run Developer Agent v20250219 + Anthopic Claude 3.5 Sonnet [20250228_epam-ai-run-claude-3-5-sonnet],anthropic/claude-sonnet-4,epam-ai-run,claude-3-5-sonnet-20241022,0.628,500
swe_verified,20250804_epam-ai-run-claude-4-sonnet,EPAM AI/Run Developer Agent v20250719 + Claude 4 Sonnet [20250804_epam-ai-run-claude-4-sonnet],anthropic/claude-sonnet-4,epam-ai-run,claude-sonnet-4-20250514,0.768,500
swe_verified,20250901_entroPO_R2E_QwenCoder30BA3B,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B],qwen/qwen3-coder,entropo,Qwen3-Coder-30B-A3B-Instruct,0.522,500
swe_verified,20250901_entroPO_R2E_QwenCoder30BA3B_tts,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts],qwen/qwen3-coder,entropo,Qwen3-Coder-30B-A3B-Instruct,0.604,500
swe_verified,20251110_frogboss-32b,FrogBoss-32B-2510 [20251110_frogboss-32b],frogboss-32b-2510,frogboss,FrogBoss-32B-2510,0.536,500
swe_verified,20251110_frogmini-14b,FrogMini-14B-2510 [20251110_frogmini-14b],frogmini-14b-2510,frogmini,FrogMini-14B-2510,0.45,500
swe_verified,20250731_harness_ai,Harness AI [20250731_harness_ai],anthropic/claude-sonnet-4,harness,claude-sonnet-4-20250514,0.748,500
swe_verified,20250915_JoyCode,JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode],anthropic/claude-sonnet-4+openai/gpt-4.1,joycode,claude-4-sonnet; gpt-4.1,0.746,500
swe_verified,20250110_learn_by_interact_claude3.5,Learn-by-interact [20250110_learn_by_interact_claude3.5],anthropic/claude-sonnet-4,learn,claude-3-5-sonnet-20241022,0.602,500
swe_verified,20251014_Lingxi_kimi_k2,Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],moonshot/kimi-k2,lingxi,kimi-k2-0905-preview,0.712,500
