agent,model,base_group,rows,latest_utc
terminus-2,openai/gpt-oss-20b@together_ai,,932,2025-11-01T20:03:42.340461+00:00
terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,qwen/qwen3-coder family,929,2025-11-01T19:46:56.489737+00:00
terminus-2,openai/gpt-oss-120b@together_ai,,925,2025-11-01T19:59:56.995481+00:00
terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,moonshot/kimi-k2 family,923,2025-11-01T19:48:10.572411+00:00
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,,904,2025-11-02T22:38:06.717327+00:00
terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,,902,2025-11-02T22:40:32.721579+00:00
terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,moonshot/kimi-k2 family,892,2025-11-11T09:30:25.582218+00:00
mini-swe-agent,openai/gpt-oss-20b@together_ai,,888,2025-11-04T08:36:08.418247+00:00
mini-swe-agent,openai/gpt-oss-120b@together_ai,,887,2025-11-04T09:10:09.269611+00:00
openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,qwen/qwen3-coder family,878,2025-11-04T09:02:58.056955+00:00
openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,moonshot/kimi-k2 family,875,2025-11-04T09:36:51.114294+00:00
forge,gemini-3.1-pro-preview@Google,google/gemini-3-pro,445,2026-02-26T18:39:19.912021+00:00
mux,claude-opus-4-6@anthropic,anthropic/claude-opus-4 family,445,2026-02-10T02:56:54.136854+00:00
gemini-cli,gemini-3-flash-preview@Google,google/gemini-3-pro,445,2026-03-05T21:50:25.753118+00:00
codex,gpt-5.1-codex@openai,openai/gpt-5 family,445,2025-11-16T20:50:38.416425+00:00
claude-code,GLM-4.7@z-ai,,445,2026-02-07T07:15:22.083773+00:00
ii-agent-simple,gemini-3-pro-preview@gemini,google/gemini-3-pro,445,2025-12-21T04:41:30.761815+00:00
terminus-3-3,gemini-3.1-pro-preview@Google,google/gemini-3-pro,445,2026-02-20T03:50:03.061583+00:00
judy,claude-opus-4.6@anthropic,anthropic/claude-opus-4 family,445,2026-02-13T06:11:33.746629+00:00
goose,claude-haiku-4-5@anthropic,anthropic/claude-haiku-4 family,445,2025-12-03T12:13:23.878745+00:00
letta-code,claude-opus-4-5@anthropic,anthropic/claude-opus-4 family,445,2025-12-15T05:45:18.213969+00:00
codex,gpt-5.1-codex-mini@openai,openai/gpt-5 family,445,2025-11-17T22:53:05.625308+00:00
codex,gpt-5.1-codex-max@openai,openai/gpt-5 family,445,2025-11-25T01:01:45.767332+00:00
mini-swe-agent,grok-code-fast-1@xai,,445,2025-11-03T21:49:49.915746+00:00
Factory Droid,gpt-5.3-codex@openai,openai/gpt-5 family,445,2026-02-22T13:15:15.355549+00:00
mini-swe-agent,grok-4-0709@xai,xai/grok-4,445,2025-11-03T22:34:47.069115+00:00
Factory Droid,claude-opus-4-6@anthropic,anthropic/claude-opus-4 family,445,2026-01-30T05:07:15.989111+00:00
Factory Droid,claude-opus-4-5-20251101@anthropic,anthropic/claude-opus-4 family,445,2025-12-10T15:57:44.629391+00:00
letta-code,gpt-5.1-codex@openai,openai/gpt-5 family,445,2025-12-15T13:18:11.970404+00:00
