task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,911,28004,28915,0.0606641,,0.0606641,1207.5428493350046,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,910,3769,4679,0.00382625,,0.00382625,41.58691476105014,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,936,42432,43368,0.063575772,,0.063575772,921.9202353360015,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,failed,0,,,,,,,,Expecting value: line 3853 column 1 (char 21186)
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,609,4444,5053,0.0043862300000000005,,0.0043862300000000005,136.16668338299496,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,622,32768,33390,0.049081149000000004,,0.049081149000000004,601.5859899150091,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,failed,0,,,,,,,,Expecting value: line 1835 column 1 (char 10087)
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,364,2393,2757,0.00237163,,0.00237163,109.53445299604209,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,372,32768,33140,0.049043774000000005,,0.049043774000000005,601.6966298990301,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,908,24122,25030,0.052316299999999996,,0.052316299999999996,758.1744093520101,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,910,4373,5283,0.004400049999999999,,0.004400049999999999,197.8128751249751,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,897,32768,33665,0.0491222615,,0.0491222615,601.1155590029666,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,275,22558,22833,0.0486372,,0.0486372,965.1726092579775,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,274,2655,2929,0.00259623,,0.00259623,24.747497678967193,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,300,10253,10553,0.015373085000000002,,0.015373085000000002,261.4997188280104,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,1218,29475,30693,0.06398025,,0.06398025,1276.8174907129724,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,1218,2925,4143,0.00310761,,0.00310761,50.456398677953985,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,1218,26874,28092,0.04035872100000001,,0.04035872100000001,692.9724281730014,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,failed,0,,,,,,,,Expecting value: line 3629 column 1 (char 19954)
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,398,1663,2061,0.0016873099999999998,,0.0016873099999999998,48.25191715802066,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,463,14703,15166,0.0220502035,,0.0220502035,276.81024900998455,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,failed,0,,,,,,,,Expecting value: line 3779 column 1 (char 20779)
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,937,2685,3622,0.00280374,,0.00280374,80.81811594701139,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,981,60486,61467,0.0905732295,,0.0905732295,993.8902805679827,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,444,29773,30217,0.06423395,,0.06423395,885.7490429159952,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,446,2141,2587,0.0021543699999999996,,0.0021543699999999996,91.35143467300804,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,440,32768,33208,0.049053940000000004,,0.049053940000000004,619.1593626420363,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,681,32768,33449,0.07079169999999999,,0.07079169999999999,999.7935217429767,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,680,3401,4081,0.0034145499999999997,,0.0034145499999999997,32.268494235991966,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,704,21873,22577,0.03280538300000001,,0.03280538300000001,408.5034689330496,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,389,6130,6519,0.013374,,0.013374,141.5208341400139,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,388,358,746,0.00044486,,0.00044486,6.2293542819679715,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,383,7721,8104,0.011600153500000002,,0.011600153500000002,85.49484413600294,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,359,17882,18241,0.038625799999999995,,0.038625799999999995,708.6765604630345,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,358,1454,1812,0.00147796,,0.00147796,11.329370618041139,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,failed,0,,,,,,,,Expecting value: line 741 column 1 (char 4070)
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,failed,0,,,,,,,,Expecting value: line 8357 column 1 (char 45958)
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,712,4278,4990,0.00425634,,0.00425634,48.15316940599587,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,834,57739,58573,0.08644448800000001,,0.08644448800000001,808.6459970709984,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,550,30263,30813,0.06534045,,0.06534045,1278.8356871959986,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,552,2851,3403,0.00285749,,0.00285749,132.14631426602136,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,567,31584,32151,0.0473028465,,0.0473028465,657.2599182999693,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,799,32768,33567,0.07085069999999999,,0.07085069999999999,1190.6281139839557,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,798,3139,3937,0.0031975099999999998,,0.0031975099999999998,71.32409348402871,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,823,66803,67626,0.0999935235,,0.0999935235,869.1281454319833,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,541,35713,36254,0.07705345000000001,,0.07705345000000001,1529.2585552370292,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,0,543,2471,3014,0.0024940599999999998,,0.0024940599999999998,101.34771938895574,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,0,567,55591,56158,0.0831933115,,0.0831933115,701.4295775740175,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,390,16990,17380,0.0367235,,0.0367235,742.3724102230044,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,392,1082,1474,0.0011337399999999998,,0.0011337399999999998,54.979214240040164,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,406,10476,10882,0.015722317,,0.015722317,125.92158008000115,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,0,200,32768,32968,0.0705512,,0.0705512,1246.7002790109836,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,199,596,795,0.0006199299999999999,,0.0006199299999999999,18.310075671004597,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,200,24149,24349,0.03613265500000001,,0.03613265500000001,290.2787098919507,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,351,11296,11647,0.024461899999999995,,0.024461899999999995,472.16005814197706,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,350,193,543,0.00027785,,0.00027785,8.525453498004936,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,qwen3t,openrouter,qwen/qwen3-235b-a22b-thinking-2507,succeeded,1,368,10547,10915,0.015822781,,0.015822781,123.86870376195293,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,r1,openrouter,deepseek/deepseek-r1-0528,succeeded,1,721,26963,27684,0.05833095,,0.05833095,1045.597103344975,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,terminus,openrouter,deepseek/deepseek-v3.1-terminus,succeeded,1,721,2030,2751,0.00212317,,0.00212317,40.391492730006576,
