task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,908,32768,33676,0.0824648,,0.0824648,205.75376560998848,
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1003,21435,22438,0.324534,,0.324534,275.3177934109699,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,602,32768,33370,0.08228120000000001,,0.08228120000000001,194.9844430400408,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,662,1923,2585,0.030830999999999997,,0.030830999999999997,28.305719820957165,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,364,32768,33132,0.0821384,,0.0821384,193.6502003200003,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,395,2142,2537,0.033315,,0.033315,34.73868805699749,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,882,32768,33650,0.0824492,,0.0824492,195.06393178302096,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1008,1635,2643,0.027549,,0.027549,3050.4161299559637,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,273,8339,8612,0.0210113,,0.0210113,44.71398239204427,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,301,1412,1713,0.022083000000000002,,0.022083000000000002,23.77897640998708,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,1180,32768,33948,0.08262800000000001,,0.08262800000000001,192.128414308012,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1323,9877,11200,0.152124,,0.152124,140.5760858389549,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,387,32768,33155,0.08215220000000001,,0.08215220000000001,124.52241546101868,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,439,1730,2169,0.027267,,0.027267,22.74707080301596,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,909,32768,33677,0.08246540000000001,,0.08246540000000001,179.6698875000002,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1061,1291,2352,0.022548,,0.022548,1225.861981975031,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,433,32768,33201,0.08217980000000001,,0.08217980000000001,203.8353588199825,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,464,1295,1759,0.020817000000000002,,0.020817000000000002,23.753124787006527,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,687,26637,27324,0.0670047,,0.0670047,134.74120698403567,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,781,5471,6252,0.084408,,0.084408,67.60773675504606,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,368,2334,2702,0.0060558,,0.0060558,20.1856651789858,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,410,257,667,0.005085,,0.005085,3.333328887994867,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,274,17909,18183,0.0449369,,0.0449369,99.83181815798162,
