task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc196_b,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,908,34712,35620,0.0873248,,0.0873248,198.43749260698678,
arc196_c,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,593,47518,48111,0.1191508,,0.1191508,255.45454828394577,
arc196_a,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,364,65536,65900,0.16405840000000002,,0.16405840000000002,368.0705719339894,
arc196_d,2025-04-06T00:00:00,2025-04-06T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,882,63244,64126,0.1586392,,0.1586392,334.1385326649761,
abc400_c,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,273,65536,65809,0.1640038,,0.1640038,169.62366273801308,
abc400_d,2025-04-05T00:00:00,2025-04-05T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,1180,59198,60378,0.14870299999999997,,0.14870299999999997,280.6080728060333,
abc400_e,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,387,65536,65923,0.1640722,,0.1640722,215.11096246400848,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,909,46800,47709,0.11754540000000001,,0.11754540000000001,290.85799601394683,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,433,65536,65969,0.16409980000000002,,0.16409980000000002,280.86502517102053,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,687,65536,66223,0.16425220000000001,,0.16425220000000001,258.14480928197736,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,368,3306,3674,0.0084858,,0.0084858,18.647534125018865,
abc399_f,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,357,65536,65893,0.1640542,,0.1640542,216.54843577102292,
arc195_e,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,716,57771,58487,0.1448571,,0.1448571,285.44856573996367,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,552,65536,66088,0.16417120000000002,,0.16417120000000002,254.29524425597629,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,809,65536,66345,0.1643254,,0.1643254,317.4548088599695,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,548,65536,66084,0.1641688,,0.1641688,390.54516497597797,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,393,29447,29840,0.0738533,,0.0738533,158.50973506399896,
